Timestamp,Average_Client_Throughput_Gbps,Average_Server_Throughput_Gbps,Combined_Average_Throughput_Gbps,ALLOC_PIN,ENABLE_NAGLE,INCREASE_SOCKET_BUFFERS,PIN_THREADS,THREAD_COUNT,CONNECTIONS_PER_THREAD
2024-10-06_09-12-59,21.588246842105264,21.594071578947368,21.591159210526314,0,0,0,1,2,4
2024-10-06_09-13-21,19.678095789473684,19.679384736842103,19.67874026315789,0,0,1,0,2,4
2024-10-06_09-14-05,27.339537368421055,27.342048421052638,27.340792894736847,0,1,0,0,2,4
2024-10-06_09-14-28,25.88265052631579,25.887012105263157,25.884831315789473,0,1,0,1,2,4
2024-10-06_09-15-34,20.985485789473685,20.99190157894737,20.988693684210528,1,0,0,0,2,4
2024-10-06_09-15-56,20.371264736842107,20.377387894736845,20.374326315789475,1,0,0,1,2,4
2024-10-06_09-16-18,20.548830526315793,20.550068947368423,20.549449736842107,1,0,1,0,2,4
2024-10-06_09-16-40,21.569774210526315,21.57295894736842,21.57136657894737,1,0,1,1,2,4
2024-10-06_09-17-02,26.138940526315785,26.138582631578945,26.138761578947367,1,1,0,0,2,4
2024-10-06_09-17-24,25.914626315789473,25.915552631578947,25.915089473684212,1,1,0,1,2,4
2024-10-06_09-17-46,28.573379473684213,28.573550526315792,28.573465000000002,1,1,1,0,2,4
2024-10-06_09-18-08,27.903857368421058,27.905582631578945,27.90472,1,1,1,1,2,4
