timestamp,client_throughput_gbit_per_second,server_throughput_gbit_per_second,total_throughput_gbit_per_second
2024-09-26_23-26-31,292.90531,292.93291999999997,585.83823
2024-09-26_23-27-35,585.8077400000001,585.86973,1171.67747
2024-09-26_23-28-39,1046.52218,1046.5318699999998,2093.0540499999997
2024-09-26_23-29-46,1168.51363,1168.9032699999998,2337.4168999999997
2024-09-26_23-31-13,1114.19983,1114.33902,2228.53885
2024-09-26_23-32-29,2322.12262,2322.42925,4644.55187
2024-09-26_23-33-32,4371.974789999999,4372.47869,8744.45348
2024-09-26_23-34-50,7488.40614,7489.24068,14977.64682
2024-09-26_23-35-55,9276.613125,9277.744002,18554.357127
2024-09-26_23-37-43,10802.103631,10805.623171,21607.726801999997
2024-09-26_23-39-10,11347.344207,11349.26079,22696.604997000002
2024-09-26_23-40-21,11570.123963,11572.973319,23143.097282000002
